station_id,connect_time,disconnect_time,total_duration,charging_duration,energy,energy_per_quarter,z_score
BOULDER / N BOULDER REC 1,2021-12-06 10:45:00,2021-12-06 14:30:00,225,225,13.957,0.930466666666667,1.21424896508582
COMM VITALITY / 1100WALNUT1,2021-12-06 11:30:00,2021-12-06 13:45:00,135,135,13.96,1.55111111111111,0.200719343424956
BOULDER / BASELINE ST1,2021-12-06 11:45:00,2021-12-06 13:30:00,120,75,8.886,1.7772,0.474967071015621
COMM VITALITY / 1100WALNUT1,2021-12-06 12:00:00,2021-12-06 13:30:00,90,90,8.952,1.492,0.306045467405477
BOULDER / N BOULDER REC 1,2021-12-06 12:15:00,2021-12-06 16:45:00,270,270,20.552,1.14177777777778,1.72101377591626
COMM VITALITY / BOULDER JCTN,2021-12-06 13:15:00,2021-12-06 15:00:00,105,75,3.841,0.7682,0.474967071015621
BOULDER / N BOULDER REC 1,2021-12-06 14:45:00,2021-12-06 15:15:00,45,30,2.153,1.0765,0.981731881846054
BOULDER / BASELINE ST1,2021-12-06 15:15:00,2021-12-06 16:45:00,90,90,9.986,1.66433333333333,0.306045467405477
COMM VITALITY / 1000WALNUT2,2021-12-06 16:30:00,2021-12-06 18:45:00,135,135,13.478,1.49755555555556,0.200719343424956
COMM VITALITY / 1100WALNUT1,2021-12-06 17:30:00,2021-12-06 21:15:00,225,75,6.783,1.3566,0.474967071015621
BOULDER / N BOULDER REC 1,2021-12-08 15:00:00,2021-12-08 15:30:00,30,30,2.96,1.48,0.981731881846054
BOULDER / ATRIUM ST1,2021-12-10 08:00:00,2021-12-10 09:45:00,105,105,5.446,0.778,0.137123863795332
COMM VITALITY / 1100WALNUT1,2021-12-07 12:30:00,2021-12-07 15:00:00,150,150,15.821,1.5821,0.369640947035101
BOULDER / REC CENTER ST2,2021-12-15 11:45:00,2021-12-15 12:45:00,60,60,6.07,1.5175,0.643888674625765
BOULDER / N BOULDER REC 1,2021-12-08 15:45:00,2021-12-08 16:30:00,45,45,3.635,1.21166666666667,0.81281027823591
COMM VITALITY / 1100WALNUT1,2021-12-11 13:15:00,2021-12-11 16:00:00,165,165,9.345,0.849545454545455,0.538562550645245
BOULDER / N BOULDER REC 1,2021-12-07 13:30:00,2021-12-07 14:45:00,75,75,7.131,1.4262,0.474967071015621
BOULDER / N BOULDER REC 1,2021-12-07 15:15:00,2021-12-07 16:15:00,75,75,4.99,0.998,0.474967071015621
BOULDER / N BOULDER REC 1,2021-12-07 15:30:00,2021-12-07 16:30:00,60,60,4.208,1.052,0.643888674625765
COMM VITALITY / 1500PEARL1,2021-12-07 15:30:00,2021-12-07 17:15:00,105,105,0.643,0.0918571428571429,0.137123863795332
BOULDER / FACILITIES ST1,2021-12-07 17:15:00,2021-12-09 15:30:00,2775,180,18.548,1.54566666666667,0.707484154255389
COMM VITALITY / 1500PEARL2,2021-12-07 17:15:00,2021-12-07 19:00:00,105,105,9.949,1.42128571428571,0.137123863795332
COMM VITALITY / 1100WALNUT1,2021-12-07 18:00:00,2021-12-07 19:30:00,90,90,8.655,1.4425,0.306045467405477
COMM VITALITY / 1000WALNUT1,2021-12-07 18:45:00,2021-12-07 22:15:00,210,165,15.006,1.36418181818182,0.538562550645245
COMM VITALITY / 1000WALNUT2,2021-12-07 19:00:00,2021-12-07 20:45:00,105,105,10.29,1.47,0.137123863795332
COMM VITALITY / 1500PEARL2,2021-12-07 19:15:00,2021-12-07 20:30:00,90,75,8.107,1.6214,0.474967071015621
BOULDER / N BOULDER REC 1,2021-12-07 19:30:00,2021-12-07 21:00:00,90,90,10.073,1.67883333333333,0.306045467405477
BOULDER / N BOULDER REC 1,2021-12-08 10:15:00,2021-12-08 11:30:00,75,75,6.023,1.2046,0.474967071015621
BOULDER / N BOULDER REC 1,2021-12-08 10:45:00,2021-12-08 11:45:00,75,75,5.412,1.0824,0.474967071015621
COMM VITALITY / 1500PEARL2,2021-12-08 11:30:00,2021-12-08 20:15:00,525,375,37.543,1.50172,2.90346500118726
BOULDER / N BOULDER REC 1,2021-12-10 08:30:00,2021-12-10 10:45:00,135,135,12.6,1.4,0.200719343424956
COMM VITALITY / 1104 SPRUCE1,2021-12-11 13:15:00,2021-12-11 15:00:00,105,45,5.002,1.66733333333333,0.81281027823591
COMM VITALITY / 1104 SPRUCE1,2021-12-08 16:00:00,2021-12-08 17:45:00,120,105,10.914,1.55914285714286,0.137123863795332
BOULDER / REC CENTER ST1,2021-12-15 12:45:00,2021-12-15 14:00:00,75,75,7,1.4,0.474967071015621
COMM VITALITY / 1000WALNUT1,2021-12-11 13:15:00,2021-12-11 15:30:00,120,120,6.179,0.772375,0.0317977398148119
BOULDER / BASELINE ST1,2021-12-15 14:00:00,2021-12-15 16:30:00,150,150,17.404,1.7404,0.369640947035101
COMM VITALITY / 1400 WALNUT1,2021-12-11 13:30:00,2021-12-11 17:45:00,255,30,2.855,1.4275,0.981731881846054
COMM VITALITY / 1104 SPRUCE1,2021-12-10 08:45:00,2021-12-10 10:30:00,90,90,5.094,0.849,0.306045467405477
BOULDER / N BOULDER REC 1,2021-12-08 16:15:00,2021-12-08 17:00:00,60,60,4.869,1.21725,0.643888674625765
COMM VITALITY / 1000WALNUT1,2021-12-10 09:00:00,2021-12-10 16:30:00,450,240,16.693,1.0433125,1.38317056869597
COMM VITALITY / 1104 SPRUCE1,2021-12-15 15:00:00,2021-12-15 15:45:00,45,45,5.374,1.79133333333333,0.81281027823591
BOULDER / REC CENTER ST1,2021-12-11 14:00:00,2021-12-11 15:45:00,105,105,5.824,0.832,0.137123863795332
